"Código do Produto (60)","Tipo (Produto/Servico)","Nome do Produto (120)",Fornecedor,"ID Fornecedor","Marca (25)","Estoque Mínimo","Estoque Máximo","Estoque Atual","Unidade (06)","Produto Variado (Sim/Não)","Valor Venda (Tabela Padrão)","Valor Custo",Peso,"Peso Liq.",ICMS,IPI,PIS,COFINS,"Unidade tributável","Código Benefício Fiscal","Código CEST","NCM (8)","Origem (0 a 8)","Numero da ordem","Código de Barras (GTIN-8,12,13,14)","Tipo Class. (Fiscal)",Observações,"ID Categoria","ID Subcategoria","Situação (Ativo/Inativo)",Tamanho,"Localização no Estoque"
002167,Produto,"ARRUELA LISA 1/2","LUZ DE AMORIM DIAS & AMORIM DIAS LTDA",39757940,,"0,00","0,00","4,00",un,Não,"1,10","1,10","0,00","0,00","0,00","0,00","0,00","0,00",,,,73182200,0,,,07,,347054,,Ativo,,
003875,Produto,"ARRUELA LISA 7/8","LUZ DE AMORIM DIAS & AMORIM DIAS LTDA",39757940,,"0,00","0,00","1,00",un,Não,"2,00","2,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73182200,0,,,07,,347054,,Ativo,,
449,Produto,"ARRUELA METAL 3/8","MMH MATERIAIS DE CONSTRUCAO LTDA",37624399,,"0,00","0,00","16,00",un,Não,"0,40","0,40","0,00","0,00","0,00","0,00","0,00","0,00",,,,73182200,0,,,07,,347054,,Ativo,,
010374,Produto,"ARRUELA PRESSAO 10M","LUZ DE AMORIM DIAS & AMORIM DIAS LTDA",39757940,,"0,00","0,00","1,00",un,Não,"1,00","1,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,73182100,0,,,07,,347054,,Ativo,,
013063,Produto,"ASPERSOR 427B 570L/H (2,0BAR) -BOCAL 3,2MM (VERDE) CIRCULA PARCIAL - ROSCA MACHO 1/2","GAZAN PRODUTOS AGROPECUARIOS LTDA",35942263,,"0,00","0,00","14,00",un,Não,"79,44","35,37","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,,,335306,,Ativo,,
013062,Produto,"ASPERSOR 5035 SD 2390L/H (3,0BAR) -BOCAIS 5,5X2,5 LMM (LARANJA) ROSCA MACHO 3/4","GAZAN PRODUTOS AGROPECUARIOS LTDA",35942263,,"0,00","0,00","22,00",un,Não,"51,28","36,52","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,,,335306,,Ativo,,
,Produto,"ASPERSOR ROTOR P/ IRRIG 5004 PLUS SAM-RAIN BIRD","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","0,00",UN,Não,"162,71","120,74","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248290,0,,,00,,335306,,Ativo,,
10829,Produto,"ASPERSOR ROTOR P/IRRIG 3504 CIRCULO CHEIO OU PARCIAL","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","0,00",UN,Não,"86,36","61,52","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,,00,,335306,,Ativo,,
10926,Produto,"ASPERSOR ROTOR P/IRRIG 5004 PLUS RAIN BIRD","SUPERNOVA COMERCIO LTDA",36001260,,"0,00","0,00","100,00",UN,Não,"95,45","68,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,40753810011985,,,335306,,Ativo,,
10642,Produto,"ASPERSOR SPRAY ESC 4 P/IRRIG 1804 RAIN BIRD","CASA DAS BOMBAS COMERCIO E EQUIPAMENTOS LTDA",34857978,"RAIN BIRD","0,00","0,00","882,00",un,Não,"32,80","13,50","0,00","0,00","0,00","0,00","0,00","0,00",,,,84248229,0,,40753800000388,,,335306,,Ativo,,
